Date,"Total Enabled Membership","Enabled Full Members","Enabled Guests","Daily active members","Daily members posting messages","Weekly active members","Weekly members posting messages","Messages in public channels","Messages in private channels","Messages in shared channels","Messages in DMs","Percent of messages, public channels","Percent of messages, private channels","Percent of messages, DMs","Percent of views, public channels","Percent of views, private channels","Percent of views, DMs","Total Full Members","Total Guests","Total Claimed Full Members","Total Claimed Guests","Total Members","Total Claimed Members","Files uploaded","Messages posted by members",Name,"Public channels, single-workspace","Messages posted","Messages posted by apps"
2018-03-08,0,0,0,3,1,16,5,0,0,0,1,0,0,1,0.5714,0,0.4286,35,0,35,0,35,35,0,1,0,9,4,0
2018-03-09,0,0,0,4,1,14,5,1,0,0,0,1,0,0,0.8889,0,0.1111,35,0,35,0,35,35,0,1,0,9,1,0
2018-03-10,0,0,0,1,0,14,5,0,0,0,0,0,0,0,1,0,0,35,0,35,0,35,35,0,0,0,9,0,0
2018-03-11,0,0,0,1,0,14,5,0,0,0,0,0,0,0,1,0,0,35,0,35,0,35,35,0,0,0,9,0,0
2018-03-12,0,0,0,11,5,14,8,1,0,0,10,0.0909,0,0.9091,0.5405,0,0.4595,35,0,35,0,35,35,0,11,0,9,12,0
2018-03-13,0,0,0,7,3,15,9,0,0,0,34,0,0,1,0.1111,0,0.8889,35,0,35,0,35,35,0,34,0,9,34,0
2018-03-14,0,0,0,7,3,15,7,3,0,0,1,0.75,0,0.25,0.7059,0,0.2941,35,0,35,0,35,35,0,4,0,9,4,0
2018-03-15,0,0,0,10,4,17,8,6,0,0,7,0.4615,0,0.5385,0.5854,0,0.4146,35,0,35,0,35,35,0,13,0,9,13,0
2018-03-16,0,0,0,9,0,18,8,0,0,0,0,0,0,0,1,0,0,35,0,35,0,35,35,0,0,0,9,1,1
2018-03-17,0,0,0,0,0,18,8,0,0,0,0,0,0,0,0,0,0,35,0,35,0,35,35,0,0,0,9,0,0
2018-03-18,0,0,0,2,0,18,8,0,0,0,0,0,0,0,1,0,0,35,0,35,0,35,35,0,0,0,9,0,0
2018-03-19,0,0,0,11,4,17,9,5,0,0,0,1,0,0,0.963,0,0.037,36,0,36,0,36,36,0,5,0,9,6,0
2018-03-20,0,0,0,9,3,18,7,3,0,0,0,1,0,0,1,0,0,36,0,36,0,36,36,0,3,0,9,3,0
2018-03-21,0,0,0,10,4,18,8,4,0,0,5,0.4444,0,0.5556,0.7143,0,0.2857,36,0,36,0,36,36,0,9,0,9,9,0
2018-03-22,0,0,0,10,4,18,8,0,0,0,15,0,0,1,0.2308,0,0.7692,36,0,36,0,36,36,0,15,0,9,15,0
2018-03-23,0,0,0,9,2,19,9,6,0,0,0,1,0,0,0.9231,0,0.0769,36,0,36,0,36,36,0,6,0,9,6,0
2018-03-24,0,0,0,3,0,19,9,0,0,0,0,0,0,0,1,0,0,36,0,36,0,36,36,0,0,0,9,0,0
2018-03-25,0,0,0,1,1,19,9,1,0,0,0,1,0,0,1,0,0,36,0,36,0,36,36,0,1,0,9,1,0
2018-03-26,0,0,0,11,4,19,10,6,0,0,2,0.75,0,0.25,0.8636,0,0.1364,38,0,38,0,38,38,0,8,0,9,10,0
2018-03-27,0,0,0,8,1,21,8,1,0,0,0,1,0,0,1,0,0,38,0,38,0,38,38,0,1,0,9,1,0
2018-03-28,0,0,0,5,0,22,8,0,0,0,0,0,0,0,0.9091,0,0.0909,38,0,38,0,38,38,0,0,0,9,0,0
2018-03-29,0,0,0,7,0,23,5,0,0,0,0,0,0,0,0.8889,0,0.1111,39,0,39,0,39,39,0,0,0,9,1,0
2018-03-30,0,0,0,19,4,23,8,1,0,0,16,0.0588,0,0.9412,0.5179,0,0.4821,40,0,40,0,40,40,0,17,0,9,18,0
2018-03-31,0,0,0,3,1,23,9,3,0,0,0,1,0,0,1,0,0,40,0,40,0,40,40,0,3,0,9,3,0
2018-04-01,0,0,0,1,0,23,9,0,0,0,0,0,0,0,0,0,1,40,0,40,0,40,40,0,0,0,9,0,0
2018-04-02,0,0,0,10,6,24,8,3,0,0,6,0.3333,0,0.6667,0.5172,0,0.4828,40,0,40,0,40,40,0,9,0,9,9,0
2018-04-03,0,0,0,6,0,23,8,0,0,0,0,0,0,0,1,0,0,40,0,40,0,40,40,0,0,0,9,0,0
2018-04-04,0,0,0,3,0,23,8,0,0,0,0,0,0,0,1,0,0,40,0,40,0,40,40,0,0,0,9,0,0
2018-04-05,0,0,0,28,6,31,13,5,0,0,3,0.625,0,0.375,0.843,0,0.157,44,0,44,0,44,44,1,8,0,10,20,0
2018-04-06,0,0,0,27,7,32,12,16,0,0,1,0.9412,0,0.0588,0.9592,0,0.0408,47,0,47,0,47,47,0,17,0,12,23,1
2018-04-07,0,0,0,0,0,32,12,0,0,0,0,0,0,0,0,0,0,47,0,47,0,47,47,0,0,0,12,0,0
2018-04-08,0,0,0,2,0,32,12,0,0,0,0,0,0,0,1,0,0,47,0,47,0,47,47,0,0,0,12,0,0
2018-04-09,0,0,0,9,2,31,11,2,0,0,0,1,0,0,1,0,0,47,0,47,0,47,47,0,2,0,12,2,0
2018-04-10,0,0,0,10,1,32,11,1,0,0,0,1,0,0,1,0,0,47,0,47,0,47,47,0,1,0,12,1,0
2018-04-11,0,0,0,4,0,32,11,0,0,0,0,0,0,0,1,0,0,47,0,47,0,47,47,0,0,0,12,0,0
2018-04-12,0,0,0,9,3,30,9,2,0,0,11,0.1538,0,0.8462,0.4359,0,0.5641,47,0,47,0,47,47,0,13,0,12,13,0
2018-04-13,0,0,0,8,2,22,7,2,0,0,0,1,0,0,1,0,0,47,0,47,0,47,47,0,2,0,12,2,0
2018-04-14,0,0,0,0,0,22,7,0,0,0,0,0,0,0,0,0,0,47,0,47,0,47,47,0,0,0,12,0,0
2018-04-15,0,0,0,1,0,21,7,0,0,0,0,0,0,0,1,0,0,47,0,47,0,47,47,0,0,0,12,0,0
2018-04-16,0,0,0,16,3,23,6,4,0,0,4,0.5,0,0.5,0.8293,0,0.1707,47,0,47,0,47,47,0,8,0,12,8,0
2018-04-17,0,0,0,13,2,21,6,2,0,0,4,0.3333,0,0.6667,0.7813,0,0.2188,47,0,47,0,47,47,0,6,0,12,6,0
2018-04-18,0,0,0,8,3,22,6,0,0,0,3,0,0,1,0.6316,0,0.3684,47,0,47,0,47,47,0,3,0,12,3,0
2018-04-19,0,0,0,5,3,21,6,1,0,0,10,0.0909,0,0.9091,0.45,0,0.55,47,0,47,0,47,47,0,11,0,12,11,0
2018-04-20,0,0,0,10,0,20,5,0,0,0,0,0,0,0,0.9333,0,0.0667,47,0,47,0,47,47,0,0,0,12,0,0
2018-04-21,0,0,0,0,0,20,5,0,0,0,0,0,0,0,0,0,0,47,0,47,0,47,47,0,0,0,12,0,0
2018-04-22,0,0,0,0,0,20,5,0,0,0,0,0,0,0,0,0,0,47,0,47,0,47,47,0,0,0,12,0,0
2018-04-23,0,0,0,17,7,22,8,11,0,0,6,0.6471,0,0.3529,0.8889,0,0.1111,47,0,47,0,47,47,0,17,0,12,20,0
2018-04-24,0,0,0,19,7,27,11,0,0,0,35,0,0,1,0.2788,0,0.7212,48,0,48,0,48,48,0,35,0,12,39,1
2018-04-25,0,0,0,10,3,26,11,0,0,0,19,0,0,1,0.2083,0,0.7917,48,0,48,0,48,48,0,19,0,12,19,0
2018-04-26,0,0,0,14,7,26,12,4,0,0,19,0.1739,0,0.8261,0.5513,0,0.4487,48,0,48,0,48,48,0,23,0,12,27,0
2018-04-27,0,0,0,16,6,27,13,3,0,0,24,0.1111,0,0.8889,0.3699,0,0.6301,49,0,49,0,49,49,1,27,0,12,31,0
2018-04-28,0,0,0,5,4,27,13,0,0,0,5,0,0,1,0.1818,0,0.8182,49,0,49,0,49,49,0,5,0,12,5,0
2018-04-29,0,0,0,0,0,27,13,0,0,0,0,0,0,0,0,0,0,49,0,49,0,49,49,0,0,0,12,0,0
2018-04-30,0,0,0,24,11,29,15,8,0,0,15,0.3478,0,0.6522,0.646,0,0.354,51,0,51,0,51,51,0,23,0,12,28,1
2018-05-01,0,0,0,14,2,28,14,1,0,0,1,0.5,0,0.5,0.8571,0,0.1429,51,0,51,0,51,51,0,2,0,12,2,0
2018-05-02,0,0,0,13,3,29,14,2,0,0,26,0.0714,0,0.9286,0.2917,0,0.7083,51,0,51,0,51,51,0,28,0,12,28,0
2018-05-03,0,0,0,26,7,34,14,12,0,0,35,0.2553,0,0.7447,0.6441,0,0.3559,52,0,52,0,52,52,0,47,0,12,48,0
2018-05-04,0,0,0,11,4,33,13,0,0,0,12,0,0,1,0.5,0,0.5,52,0,52,0,52,52,0,12,0,12,12,0
2018-05-05,0,0,0,1,0,33,12,0,0,0,0,0,0,0,0,0,1,52,0,52,0,52,52,0,0,0,12,0,0
2018-05-06,0,0,0,1,0,33,12,0,0,0,0,0,0,0,0,0,1,52,0,52,0,52,52,0,0,0,12,0,0
2018-05-07,0,0,0,12,3,33,9,1,0,0,19,0.05,0,0.95,0.3469,0,0.6531,52,0,52,0,52,52,0,20,0,12,20,0
2018-05-08,0,0,0,7,4,32,10,0,0,0,28,0,0,1,0.1148,0,0.8852,52,0,52,0,52,52,0,28,0,12,28,0
2018-05-09,0,0,0,6,3,32,11,0,0,0,23,0,0,1,0.1481,0,0.8519,52,0,52,0,52,52,1,23,0,12,24,0
2018-05-10,0,0,0,15,7,20,9,12,0,0,20,0.375,0,0.625,0.6279,0,0.3721,52,0,52,0,52,52,0,32,0,12,32,0
2018-05-11,0,0,0,8,4,18,10,2,0,0,23,0.08,0,0.92,0.2373,0,0.7627,52,0,52,0,52,52,1,25,0,12,26,0
2018-05-12,0,0,0,2,2,18,10,0,0,0,2,0,0,1,0,0,1,52,0,52,0,52,52,0,2,0,12,2,0
2018-05-13,0,0,0,0,0,18,10,0,0,0,0,0,0,0,0,0,0,52,0,52,0,52,52,0,0,0,12,0,0
2018-05-14,0,0,0,21,6,26,11,4,0,0,13,0.2353,0,0.7647,0.734,0,0.266,52,0,52,0,52,52,0,17,0,13,18,0
2018-05-15,0,0,0,10,3,27,10,1,0,0,32,0.0303,0,0.9697,0.1781,0,0.8219,52,0,52,0,52,52,0,33,0,13,34,0
2018-05-16,0,0,0,13,1,29,11,1,0,0,0,1,0,0,0.9375,0,0.0625,52,0,52,0,52,52,0,1,0,13,1,0
2018-05-17,0,0,0,14,7,29,9,5,0,0,38,0.1163,0,0.8837,0.33,0,0.67,52,0,52,0,52,52,2,43,0,13,47,0
2018-05-18,0,0,0,8,3,30,9,7,0,0,5,0.5833,0,0.4167,0.6923,0,0.3077,52,0,52,0,52,52,0,12,0,13,21,6
2018-05-19,0,0,0,2,2,30,9,0,0,0,4,0,0,1,0.1111,0,0.8889,52,0,52,0,52,52,0,4,0,13,4,0
2018-05-20,0,0,0,0,0,30,9,0,0,0,0,0,0,0,0,0,0,52,0,52,0,52,52,0,0,0,13,0,0
2018-05-21,0,0,0,11,2,24,9,0,0,0,4,0,0,1,0.6,0,0.4,52,0,52,0,52,52,0,4,0,13,5,0
2018-05-22,0,0,0,13,6,22,9,2,0,0,44,0.0435,0,0.9565,0.3058,0,0.6942,52,0,52,0,52,52,0,46,0,13,47,0
2018-05-23,0,0,0,11,6,20,10,6,0,0,15,0.2857,0,0.7143,0.4906,0,0.5094,52,0,52,0,52,52,0,21,0,13,25,0
2018-05-24,0,0,0,14,8,19,10,6,0,0,16,0.2727,0,0.7273,0.5147,0,0.4853,52,0,52,0,52,52,1,22,0,13,26,0
2018-05-25,0,0,0,8,4,18,10,2,0,0,36,0.0526,0,0.9474,0.2424,0,0.7576,52,0,52,0,52,52,1,38,0,13,40,0
2018-05-26,0,0,0,3,1,18,10,1,0,0,2,0.3333,0,0.6667,0.7143,0,0.2857,52,0,52,0,52,52,0,3,0,13,5,0
2018-05-27,0,0,0,1,1,18,10,1,0,0,0,1,0,0,1,0,0,52,0,52,0,52,52,0,1,0,13,1,0
2018-05-28,0,0,0,1,0,18,9,0,0,0,0,0,0,0,1,0,0,52,0,52,0,52,52,0,0,0,13,0,0
2018-05-29,0,0,0,13,3,17,9,6,0,0,12,0.3333,0,0.6667,0.5714,0,0.4286,52,0,52,0,52,52,0,18,0,13,19,0
2018-05-30,0,0,0,14,6,19,9,2,0,0,10,0.1667,0,0.8333,0.5,0,0.5,52,0,52,0,52,52,0,12,0,14,15,0
2018-05-31,0,0,0,16,6,19,9,12,0,0,5,0.7059,0,0.2941,0.8876,0,0.1124,52,0,52,0,52,52,0,17,0,14,19,0
2018-06-01,0,0,0,24,6,26,12,10,0,0,15,0.4,0,0.6,0.7615,0,0.2385,52,0,52,0,52,52,0,25,0,14,36,2
2018-06-02,0,0,0,8,1,28,12,0,0,0,2,0,0,1,0.6316,0,0.3684,53,0,53,0,53,53,0,2,0,14,3,0
2018-06-03,0,0,0,3,0,29,12,0,0,0,0,0,0,0,0.8333,0,0.1667,53,0,53,0,53,53,0,0,0,14,1,0
2018-06-04,0,0,0,19,4,30,12,2,0,0,6,0.25,0,0.75,0.8,0,0.2,54,0,54,0,54,54,0,8,0,14,9,0
2018-06-05,0,0,0,17,5,30,12,5,0,0,10,0.3333,0,0.6667,0.6912,0,0.3088,54,0,54,0,54,54,0,15,0,14,17,2
2018-06-06,0,0,0,11,0,31,11,0,0,0,0,0,0,0,0.7619,0,0.2381,55,0,55,0,55,55,0,0,0,14,1,0
2018-06-07,0,0,0,30,10,36,14,9,0,0,26,0.2571,0,0.7429,0.7268,0,0.2732,58,0,58,0,58,58,0,35,0,15,44,1
2018-06-08,0,0,0,23,6,37,11,7,0,0,26,0.2121,0,0.7879,0.623,0,0.377,58,0,58,0,58,58,0,33,0,15,36,1
2018-06-09,0,0,0,7,1,36,11,1,0,0,0,1,0,0,1,0,0,58,0,58,0,58,58,0,1,0,15,4,0
2018-06-10,0,0,0,7,1,35,12,4,0,0,0,1,0,0,0.9286,0,0.0714,58,0,58,0,58,58,0,4,0,16,4,0
2018-06-11,0,0,0,14,3,35,12,0,0,0,7,0,0,1,0.6774,0,0.3226,58,0,58,0,58,58,0,7,0,16,7,0
2018-06-12,0,0,0,8,2,34,12,1,0,0,2,0.3333,0,0.6667,0.9333,0,0.0667,58,0,58,0,58,58,0,3,0,16,3,0
2018-06-13,0,0,0,8,3,34,12,0,0,0,18,0,0,1,0.3846,0,0.6154,58,0,58,0,58,58,0,18,0,16,19,0
2018-06-14,0,0,0,13,6,31,10,13,0,0,3,0.8125,0,0.1875,0.9167,0,0.0833,58,0,58,0,58,58,0,16,0,16,19,0
2018-06-15,0,0,0,7,3,27,9,1,0,0,11,0.0833,0,0.9167,0.3125,0,0.6875,58,0,58,0,58,58,0,12,0,16,13,0
2018-06-16,0,0,0,0,0,27,9,0,0,0,0,0,0,0,0,0,0,58,0,58,0,58,58,0,0,0,16,0,0
2018-06-17,0,0,0,1,0,26,9,0,0,0,0,0,0,0,1,0,0,58,0,58,0,58,58,0,0,0,16,0,0
2018-06-18,0,0,0,7,3,23,8,0,0,0,9,0,0,1,0.45,0,0.55,58,0,58,0,58,58,0,9,0,16,11,0
2018-06-19,0,0,0,6,3,19,8,0,0,0,55,0,0,1,0.0769,0,0.9231,58,0,58,0,58,58,0,55,0,16,55,0
2018-06-20,0,0,0,12,6,20,9,3,0,0,38,0.0732,0,0.9268,0.3582,0,0.6418,58,0,58,0,58,58,0,41,0,16,46,0
2018-06-21,0,0,0,22,5,28,8,2,0,0,16,0.1111,0,0.8889,0.8021,0,0.1979,58,0,58,0,58,58,0,18,0,15,22,1
2018-06-22,0,0,0,22,6,32,10,6,0,0,13,0.3158,0,0.6842,0.7436,0,0.2564,60,0,60,0,60,60,0,19,0,15,20,0
2018-06-23,0,0,0,3,0,33,10,0,0,0,0,0,0,0,1,0,0,60,0,60,0,60,60,0,0,0,15,0,0
2018-06-24,0,0,0,1,0,33,10,0,0,0,0,0,0,0,1,0,0,60,0,60,0,60,60,0,0,0,15,0,0
2018-06-25,0,0,0,13,5,34,10,0,0,0,5,0,0,1,0.7391,0,0.2609,60,0,60,0,60,60,1,5,0,15,7,1
2018-06-26,0,0,0,14,4,35,11,0,0,0,17,0,0,1,0.5,0,0.5,61,0,61,0,61,61,1,17,0,15,21,0
2018-06-27,0,0,0,8,0,36,9,0,0,0,0,0,0,0,0.8,0,0.2,61,0,61,0,61,61,0,0,0,15,0,0
2018-06-28,0,0,0,15,5,33,9,5,0,0,13,0.2778,0,0.7222,0.803,0,0.197,61,0,61,0,61,61,0,18,0,15,23,1
2018-06-29,0,0,0,17,7,28,10,2,0,0,20,0.0909,0,0.9091,0.4884,0,0.5116,61,0,61,0,61,61,0,22,0,15,22,0
2018-06-30,0,0,0,4,1,26,10,0,0,0,2,0,0,1,0.25,0,0.75,61,0,61,0,61,61,0,2,0,15,2,0
2018-07-01,0,0,0,4,1,26,10,1,0,0,0,1,0,0,0.6,0,0.4,61,0,61,0,61,61,0,1,0,15,1,0
2018-07-02,0,0,0,22,4,32,11,4,0,0,39,0.093,0,0.907,0.5962,0,0.4038,61,0,61,0,61,61,0,43,0,15,48,2
2018-07-03,0,0,0,12,2,33,10,0,0,0,27,0,0,1,0.4259,0,0.5741,61,0,61,0,61,61,2,27,0,15,29,0
2018-07-04,0,0,0,1,0,32,10,0,0,0,0,0,0,0,0.5,0,0.5,61,0,61,0,61,61,0,0,0,15,0,0
2018-07-05,0,0,0,19,5,32,11,2,0,0,3,0.4,0,0.6,0.9268,0,0.0732,62,0,62,0,62,62,0,5,0,15,11,1
2018-07-06,0,0,0,11,4,33,10,0,0,0,46,0,0,1,0.2222,0,0.7778,62,0,62,0,62,62,0,46,0,15,46,0
2018-07-07,0,0,0,0,0,33,10,0,0,0,0,0,0,0,0,0,0,62,0,62,0,62,62,0,0,0,15,1,0
2018-07-08,0,0,0,1,0,33,10,0,0,0,0,0,0,0,1,0,0,62,0,62,0,62,62,0,0,0,15,0,0
